age,sex,children,wage
32,1,0,10800.868725990316
38,1,0,13632.966072578474
41,0,1,12703.035259507033
10,1,0,10256.36106690336
33,0,1,11792.284886636702
20,0,1,11488.868158534187
23,0,0,7996.303403581578
37,1,1,14363.549219916213
26,0,1,10460.950901171751
25,1,0,9930.484817233331
29,0,1,11237.325995480696
41,0,1,10990.76029277577
24,1,0,10855.604959289187
18,1,1,12259.458515796081
26,1,1,14929.337459479251
25,1,0,12567.370357337655
24,0,0,8229.097279572798
11,0,0,6338.19781684563
21,0,0,6451.047115940672
31,0,0,8236.827647802074
54,1,1,16012.116852499948
22,1,0,14107.513572723345
36,1,0,14711.84258496906
21,0,1,8476.93106252162
21,0,0,9136.6890053721
23,1,1,13782.178974791737
25,1,0,10183.543314342276
28,0,0,9014.72370548953
36,0,0,8526.652798747484
37,0,0,7992.865137085577
27,0,1,12005.666428348948
22,1,0,12598.755138809844
29,1,1,15666.182324537614
28,0,1,11380.572636262652
37,1,0,13803.423698963634
34,0,0,9156.067178095094
23,1,0,10923.32019532038
28,1,0,10941.964425648293
26,1,0,11000.709646090656
32,1,1,14896.15703955658
38,0,1,13176.616779299678
24,0,1,11697.481120773089
39,1,1,14453.99958378607
33,0,0,7667.118472337013
29,0,0,8678.63524059899
17,1,0,9660.121136408086
27,1,0,11586.126039886925
8,1,0,9901.822516866672
13,0,1,9649.032587647418
25,0,1,11219.898404609432
32,0,0,8692.825113955869
15,0,0,6254.185192579439
61,0,0,13113.894057619977
22,0,1,11603.220971786215
30,0,0,9154.587765306718
17,0,0,6368.597944017703
30,1,0,10548.706043036087
20,1,0,10097.486636028105
34,0,1,11324.054621317182
30,0,1,11379.476647086114
27,1,0,13373.842645559916
25,1,1,15037.19513382004
51,1,0,14759.252681954586
21,0,1,10700.57217902625
8,0,0,5155.366564013641
29,0,0,9796.028154226075
36,1,1,16682.366578530553
41,0,1,14429.612838721438
30,1,0,12777.33204445522
33,1,0,12335.329505313548
27,0,1,11955.316313127103
39,1,0,13432.025795439575
18,1,0,9664.062992712563
21,1,0,9923.027325968727
33,1,0,15378.85811529419
34,1,1,13711.282659751998
24,1,1,13904.233840576913
15,1,0,10616.001472022137
25,0,1,9512.882648079298
25,0,1,10568.145155939133
29,0,0,9897.460887040706
17,1,0,10668.367063065889
26,1,1,14637.741943060173
37,0,0,9407.487814837674
49,0,1,13725.426591764563
28,0,1,11590.5411450861
35,0,1,11671.938873164388
33,0,1,13115.732088719758
38,0,1,12076.96354504262
28,0,0,8031.753656397979
42,0,1,12372.007146455817
26,1,0,10949.99382840618
28,0,1,9949.97252459937
27,0,1,9598.074214844983
45,1,1,16250.881624154714
40,0,1,12745.771395367996
27,0,1,8996.877416905802
37,0,1,12854.099936199475
19,1,0,11521.527081840195
29,1,1,12193.321745135803
31,0,1,13495.61836129323
21,1,0,10186.719199349769
31,1,0,11770.07267007894
23,1,0,11651.696772507774
22,0,0,6988.43339292136
32,0,1,12106.251582967108
21,1,0,11561.052915284065
39,1,1,15327.772380434317
42,1,1,15868.088686600815
40,1,0,12623.497943250275
19,0,0,7590.221615238954
21,1,0,11189.72385252333
26,1,0,11500.46583935165
43,1,1,16992.968315045167
32,0,1,10228.42561520763
37,1,1,16722.980727383547
20,1,1,16213.650695549102
19,1,0,10723.125674210967
10,0,1,9460.687883314198
29,1,1,16760.70740022969
35,1,0,11942.111567656984
28,1,0,12921.964410287663
24,1,0,10556.979162678612
12,1,1,13051.506350285006
38,1,1,15981.151279221003
22,0,0,6495.02504197052
29,1,0,10952.155049017412
26,0,0,8383.05702029099
26,1,0,10917.969741322548
27,0,0,10179.168897072617
20,1,0,11917.945557001925
44,1,0,12782.395263022941
33,1,1,15324.363547797517
11,1,0,9618.508769176962
44,0,0,9334.025835630673
24,0,1,10583.82010435215
27,1,0,11582.24352922909
39,0,1,12178.38565641081
53,1,0,13762.089621262792
33,1,1,14977.482829958319
32,0,0,8614.129891832457
22,0,0,6850.408080113694
40,1,0,13034.624816732561
29,1,0,12781.834561674184
24,0,0,7726.18413094446
42,0,0,8500.398994886751
44,1,0,13969.111005102666
3,0,0,6497.0600964536725
34,0,0,8535.097362312075
25,0,0,8056.194354391262
40,1,1,15223.034900747252
3,0,1,8312.114411995031
35,0,0,9272.24951896395
27,1,1,13488.933517289035
26,1,1,15719.538135440424
50,0,1,14634.778470525529
26,1,1,15511.348743507866
25,0,0,4813.477481884811
21,0,0,8443.58704002837
23,1,1,14000.303425461407
26,0,1,10803.10973605505
30,0,0,8570.291140699866
30,1,0,12826.259145368158
31,0,0,8619.002723551668
29,0,0,8490.873209690288
35,0,1,12007.20895830306
26,0,0,6962.715351445033
16,1,1,11350.373836408633
23,1,0,12142.937372028788
32,0,1,9492.31407589862
33,1,0,11169.612407833549
28,0,1,9068.620473609884
40,1,1,17651.297218879776
30,1,1,14918.351674119396
36,0,0,10156.153462107266
30,1,0,11496.281857398606
24,0,1,11585.18247529817
42,0,0,10296.029151257982
48,1,1,18576.430244152612
31,0,0,8097.88057519301
38,1,1,17099.959450302296
20,0,1,10735.689310860349
12,1,0,10838.95725629181
16,0,1,7816.17926882916
26,1,0,8513.961992230421
19,1,0,10025.549777128686
54,0,0,9577.7725324833
31,1,0,11762.213949678313
22,1,0,10849.929985833876
43,1,1,17968.172057484848
15,1,1,13338.049525382401
19,1,0,10074.723851396635
21,0,0,8007.18411333595
23,0,0,7476.343029773665
13,1,1,12937.152647589866
34,0,0,9767.542539512442
42,0,1,13663.315213814805
40,1,0,14004.518083576788
43,0,1,12355.256486739248
44,1,1,18278.38456259333
35,0,1,12899.526018910154
36,1,0,12898.013808801566
28,0,1,11456.695948027133
27,0,1,9898.621172401527
29,0,1,9924.981395292922
25,1,0,11099.659828056254
40,1,1,14925.40194164958
36,1,0,13297.438944238716
27,1,0,11389.968827317341
24,0,0,5835.3736377226505
22,0,1,11025.03745737899
31,1,0,13433.686061085571
24,1,0,10696.16579224821
34,1,1,14514.9012419804
56,0,1,15574.99849553937
15,0,1,9958.589485866996
31,0,1,11124.740531280127
16,1,1,11257.183560703144
30,0,1,10843.010676657392
42,1,0,14613.482385732572
40,1,0,13462.115881137866
55,1,0,16668.223407355472
33,0,0,9112.388893229469
37,1,0,13576.74798258578
6,1,0,7533.082620695075
36,0,0,8014.812532201859
24,1,0,12775.910366743807
49,1,0,13074.783689352
31,1,0,13079.612378364345
22,1,0,12906.342833310835
28,1,1,13863.052612354135
12,0,0,7350.794575196903
31,1,1,15975.408271455728
12,0,0,7166.4939888526915
49,0,1,14488.737949599617
50,1,0,13222.66681702944
16,1,1,11877.085809399436
46,0,0,9824.976083531572
47,0,0,9048.79413849684
29,1,0,12349.870914812615
23,1,0,10437.064966813008
48,1,0,13528.430323002047
14,0,0,6094.854734828122
18,1,1,12384.072882127832
12,0,0,5165.9588212970675
35,0,1,13764.860443512933
23,1,0,11477.450175728094
45,0,1,11606.06840340591
18,1,0,11197.061629038644
40,1,0,13897.706165523057
17,0,0,7866.04082013981
22,1,0,10679.993433209027
24,0,1,9263.48179729222
36,0,1,13446.630853564715
27,0,1,11694.427234720933
32,0,1,10632.284603650813
42,1,0,13668.445943289144
28,1,0,11151.131590594474
40,0,1,11275.232688147607
7,0,0,6562.347563447558
31,0,1,9970.944943547145
27,0,1,10886.088824211396
17,0,1,9236.932090204145
29,1,0,12628.066308515987
27,0,1,10523.331924917395
37,0,0,9659.81794081882
22,0,1,12218.140157537908
27,0,0,7558.097039416612
27,1,0,10808.575225196488
30,0,1,12183.476991285173
21,1,1,13743.77433750763
25,1,0,11861.994770648693
33,0,1,11286.045846735295
30,0,0,9442.776193436972
20,0,1,10017.507722779543
24,0,1,11692.235169411873
18,1,0,10793.381840689242
30,0,0,7447.292332820334
40,0,0,10920.000976986044
28,0,1,11061.159369229144
31,1,0,11653.209980460771
29,0,1,11422.248675768
22,0,1,9660.676676330366
37,0,1,13216.560903946274
42,0,0,9218.927416894148
34,1,0,13166.364078068775
13,1,0,11128.38935197653
39,0,1,12838.634813532175
35,0,1,11207.238684494483
36,0,1,11897.617171158174
24,0,0,7673.032437927588
37,0,1,13627.613520637524
17,0,1,9101.574073018159
27,1,0,10450.729259169695
22,1,0,12306.120373461985
22,0,0,9529.975974334639
39,0,1,11276.065388242836
7,1,0,9695.695093812617
45,1,1,15202.323624570798
47,0,1,13437.904908359425
33,1,0,11903.731507481974
25,1,0,10848.29844973352
28,1,0,12342.381967739779
27,1,0,10465.818625721697
26,1,0,12954.579706055098
33,1,1,16650.98133519317
17,0,1,8920.541043598594
25,1,1,15549.760384691093
39,1,1,17947.467317687053
35,0,1,12719.97069280577
13,0,1,9861.63078721649
21,1,0,12663.771291738496
29,0,0,10240.303496260829
20,0,1,10742.402930888285
25,0,0,7222.08718038402
20,1,0,12782.267263367996
18,0,0,4316.5047566199255
27,1,1,13273.87348662688
37,0,1,11946.524564475945
26,0,0,8782.06881077825
31,1,0,12555.414831479766
28,1,0,12091.10883248207
36,1,1,15077.000257650685
33,0,1,10432.487749808926
49,0,1,12076.21880276846
11,0,0,6898.1406764347
12,1,0,10331.955533618067
26,0,1,11334.770477693764
38,1,1,15057.38899978332
18,1,1,12466.15550367393
43,1,0,15204.656864589158
39,0,0,9431.862183692812
44,0,1,12452.622560046517
16,1,1,14071.930917043119
34,0,1,11276.29469569719
34,0,0,9161.052564057461
20,0,0,8157.96086788265
17,0,1,11970.286035250538
25,0,0,7576.538522429697
31,0,1,12051.101544900219
23,0,0,8805.120503837554
37,0,1,12640.546165864107
26,1,1,14377.299025521223
28,0,1,11134.053757365156
33,1,0,12645.808702940974
31,0,1,10333.864490219265
24,0,0,6397.178917801139
24,0,1,9768.0694254249
42,0,1,12349.906204950932
28,0,1,10675.909456808595
29,1,1,17337.636154468553
45,1,1,16973.803023012842
13,0,1,8817.224043904997
31,0,1,11303.712450380397
24,0,0,8427.8649731344
25,0,1,10475.524294450543
27,0,1,11550.963176670006
38,1,1,16464.91371126964
22,0,1,11400.83358960273
37,1,0,12112.444784718069
25,1,1,13889.447347902187
31,1,0,10740.44623937712
12,0,1,6071.078613322745
41,1,0,12562.740704471902
37,0,1,13351.347246087022
23,0,1,10169.236429237957
22,0,0,8752.798670394166
46,1,0,13875.130255792827
32,0,1,11551.437338477219
23,1,1,14510.568893734522
29,1,0,11729.964713628538
28,0,0,8422.400870133211
29,0,1,11009.896631873495
34,0,1,11015.44841803973
34,1,1,14662.535851390632
24,1,1,13627.745427318632
31,1,1,16085.407526276613
26,0,1,10449.315379013266
48,0,1,12980.008593329452
18,0,1,9764.0367732238
45,1,0,13821.333502563803
41,0,0,8684.222061704717
35,1,1,15589.514513928867
41,0,1,14467.20993579906
36,0,0,9512.37654584869
31,1,0,12247.072832106669
24,0,0,7392.415479512413
33,0,1,11148.23124567105
34,1,0,14358.677066156522
29,1,0,11626.661241198794
39,1,0,11963.364360001733
20,1,0,11288.182807479836
27,0,1,11095.731674282231
14,1,0,13701.161350417804
29,0,0,9072.656535220569
21,1,0,11252.698033138851
38,1,0,13104.286483456335
19,0,0,8358.063124166856
22,0,1,11088.326505592853
24,0,1,10876.869168266963
60,0,1,15101.356112241348
27,1,0,10158.895645283952
48,1,1,17147.197295457965
25,0,0,9526.718936958287
15,0,0,5758.31356636477
22,0,1,9731.967048263587
28,0,0,7797.013586115477
31,0,1,7953.256555949995
32,0,1,13118.769651994051
11,1,1,12776.862887610243
26,1,1,15672.45689804389
19,1,0,12145.354839037098
39,0,1,12033.881169879141
31,0,0,6828.833872977906
38,1,0,13710.824089014634
39,1,0,12995.859139110162
37,0,1,10717.049758782001
25,1,1,13175.777106510275
47,1,1,16884.046693646887
27,1,0,11408.997344369327
43,1,1,18248.30468358401
21,0,0,8666.686035174198
26,0,0,9042.425534528069
35,1,1,16277.848520051219
48,0,0,11550.906455569857
41,1,1,17431.878432025263
31,1,0,12852.742942886667
21,1,1,12710.019460428359
28,1,1,14801.490894206554
30,0,0,8809.02683374293
14,1,0,12030.98351655406
28,1,0,13114.855727407237
25,1,0,13519.851097641265
51,0,1,14397.951329843483
36,0,0,9385.142403828086
19,1,0,10172.342588171921
24,1,0,10699.759123314221
10,1,1,12653.113573473005
20,0,0,8055.098063357044
47,0,1,11896.018727584966
31,1,1,13791.23487484936
31,0,0,8209.23091145841
20,0,0,7060.879156357977
23,1,0,13595.545146488555
35,1,0,12164.082802106326
43,0,0,10825.981103490545
26,1,1,13785.411015848706
20,0,1,9591.747512803035
49,0,1,13903.281710032676
48,1,1,16426.654997640468
13,1,0,10144.372611754428
40,1,0,13161.209437908625
37,1,1,15397.630574208486
31,0,1,10780.914410543155
50,1,0,14817.353248250916
25,0,1,9736.94194862651
24,0,1,10737.91395279259
34,0,1,10762.470853195922
15,1,0,9243.087448226313
32,1,0,12656.997251582534
21,1,0,10166.925017180803
30,1,0,13482.339494266007
36,0,1,11653.908631194841
42,1,0,13116.368152865287
34,0,1,11402.8887756026
28,0,0,9456.855701417884
11,1,1,11843.510853830578
29,1,1,13537.564065500059
26,1,0,11580.602993406452
21,1,0,7654.695793710165
26,0,0,7994.1327152385875
23,1,1,13338.943308408845
24,0,1,10325.501625897603
58,0,1,13207.626783897715
26,0,0,6598.141669933756
47,0,0,9583.586716462658
25,0,0,8097.322618202137
34,0,0,8731.898486678174
30,0,1,9158.823074404696
40,0,0,10665.280172191016
53,1,1,16582.226677962804
36,1,0,11781.123586390664
26,1,0,11272.154291675906
35,1,0,11943.894053272794
15,0,0,5613.216112487196
39,0,1,13249.546864106514
22,0,0,7458.026111041151
38,0,0,10246.940493824171
13,1,0,9709.261463938166
27,0,0,7818.106689880505
18,1,1,12197.860866915404
39,0,0,9779.301706137714
37,0,1,13606.985074326662
44,0,1,12444.248960015842
28,0,0,7374.702640281143
17,1,0,10480.809225534638
17,1,0,8634.128433582264
38,1,1,15332.581477360463
23,1,0,8985.429586663715
32,0,1,10417.747167502474
38,1,1,15096.65381547305
32,0,0,9789.15834904686
32,0,1,10716.387441040511
38,0,0,10023.534058347423
31,0,1,11699.01413264785
35,0,0,9211.940681740773
26,1,0,11856.105976359657
33,0,0,9223.528093976893
17,0,0,6556.965483077372
16,1,0,10720.685672214973
39,0,0,8921.06688937494
37,0,1,11412.322380819212
34,1,0,12654.66091086323
48,0,1,13347.613943481228
25,1,0,10804.272151697003
41,1,0,14733.087482277066
30,0,1,11971.415347233935
42,0,0,10248.674810651233
26,0,1,11445.37692969416
26,1,0,11392.468496311063
15,1,1,12647.707121379197
40,1,1,15686.95663504333
44,0,1,11769.79466500291
32,0,0,9346.824538477966
34,1,0,9993.149023917405
47,0,0,11751.386831471089
15,1,0,10421.224136772664
13,1,0,10422.8833747611
18,1,1,12612.196497950219
28,1,1,15792.729594617693
35,1,1,14608.338816368234
13,0,0,8081.133759409034
29,0,0,9559.538136337535
23,1,1,13066.815308159614
32,0,1,10734.245782717147
24,1,0,11273.605850327109
20,0,1,8992.68140368809
21,1,0,8867.125144622485
27,1,0,11326.773911050403
30,0,1,12706.975428170204
40,0,1,13471.008865017375
22,1,0,10876.63896205029
33,1,1,16793.715134136095
40,1,0,10616.598645250637
26,0,0,7930.43949456638
42,0,0,9321.483103951754
31,1,0,11388.636994961751
35,1,1,14918.664327425471
11,0,0,7063.274311660602
29,1,1,14330.557563681663
35,0,1,11902.276040773248
30,1,1,14046.270286197
36,1,1,14235.385179567485
14,1,0,9875.260685623864
15,1,0,11210.592608608697
33,1,1,14574.698577077797
21,0,1,9345.889528281918
20,0,0,7900.935061702845
33,1,0,11872.059214535948
42,1,0,15105.473649521377
19,0,0,5833.915006706096
35,1,0,13035.25804597718
32,0,1,11753.00637702858
30,0,0,7614.5131242271045
4,0,0,5433.238488278881
32,0,1,11869.349490766035
26,1,1,14638.685169217892
31,1,0,14108.241239584035
48,1,0,13905.910596014832
26,0,1,11741.190846450903
29,0,1,12369.83364622305
31,1,1,14681.742533932651
32,1,0,11854.321115137065
19,0,1,11264.52496066886
33,1,0,10816.193371468262
27,0,1,11815.64823449153
45,1,1,16290.492696573965
27,0,1,12548.74334936259
30,0,1,10292.220386482322
33,1,0,11993.437946016567
45,0,0,11262.69689144626
17,1,1,14088.580920539533
29,1,0,13405.04823338642
38,1,0,14817.561079745847
40,0,0,7685.667918548214
25,1,1,14205.40140719917
24,0,0,6627.256567830185
29,0,0,8902.923167247074
6,0,0,5465.024029189606
30,0,0,8399.803877294213
39,0,1,13471.457774287515
34,1,0,11744.6562743878
15,0,0,6390.028039981651
31,0,0,7380.664805468641
29,0,0,9835.114228486691
15,1,0,9689.354636567394
45,1,1,15680.303998368974
37,1,1,15204.606655585549
23,1,1,14295.606958252734
26,0,1,9685.417317898871
15,0,1,10456.634964248422
34,0,1,11603.487232734693
25,0,0,7488.943267953124
31,0,0,7776.108699681559
43,0,1,14668.017432805014
23,1,0,12379.216181816922
28,0,0,7844.624068002943
14,1,0,7380.351881706884
23,0,0,8241.330103255475
37,0,0,9551.296655187492
20,1,0,11129.620514273236
12,0,0,6521.689422480405
20,0,0,7524.642352451022
34,0,1,13005.297180530135
21,0,1,8533.543398921709
26,0,1,11677.396135728879
17,1,0,11924.536664829182
31,0,1,10774.780263126255
19,1,1,14394.022729018288
30,0,1,10748.887306815664
13,1,1,13355.587812921003
18,0,0,7228.12779656556
6,1,0,10123.994978988043
16,0,1,9832.064052094684
13,1,0,10501.821446991089
35,0,0,8549.476476555317
22,1,1,13784.257829775612
17,0,1,9836.526948268678
30,0,1,8896.280533299821
19,0,0,6173.62689208463
23,0,1,10476.711960651392
9,1,0,7977.981900860805
31,0,1,11350.86035433128
23,1,0,12884.922660983162
23,0,1,11432.561499149879
36,0,0,8797.66622586176
34,1,0,13767.052474697422
40,0,0,11606.098968983257
35,1,0,12525.522621191565
20,1,1,13715.734509516076
23,1,0,11808.338970784464
26,0,1,10779.014612295357
26,1,0,11963.69132211951
36,1,1,14902.313660808977
29,1,1,15104.602074557617
27,1,0,12732.67312265754
19,0,1,8553.370442307258
38,1,0,11921.885507398016
1,0,1,6894.76352310012
32,1,1,14201.380764585507
24,1,0,13092.25643324119
42,1,1,16108.543593926543
53,0,1,14973.502753156075
23,0,1,10812.20977682701
36,1,0,11270.280884342772
24,0,1,9452.797302847364
46,0,0,10701.10647579433
28,1,1,12734.77084559191
37,1,0,13113.118430571438
24,1,1,12809.321774885339
32,0,0,9118.876138931884
28,0,0,7994.421352198537
19,0,0,8245.639461699146
42,0,1,11407.162153921
43,0,1,12416.172587042334
21,1,1,13943.91270570849
29,0,0,9038.76220944639
26,1,0,9861.934041098246
22,1,1,12946.573727345592
21,0,0,7483.6454820453455
39,0,0,9431.872020332916
38,0,1,12929.460379317878
45,1,0,13614.188996154218
36,0,1,12590.087152526417
34,1,1,18139.950434635895
41,0,1,12298.556831299951
37,0,0,9004.010544618382
39,1,1,17415.275637137926
31,0,1,10963.079742500526
30,1,0,10540.480360236732
41,1,1,16493.40871614668
25,1,1,15194.062130321037
7,0,0,4709.338264740527
47,1,1,16176.025401049466
41,0,1,12434.257678259057
34,1,0,12795.502566014975
38,0,1,12134.506809215252
33,0,1,11174.539184479265
13,1,0,10014.697135777957
28,1,0,13244.258399204555
22,1,1,13002.75009540843
33,1,0,13699.211384691653
29,1,1,12463.979342239621
52,1,0,15410.318679700988
23,0,0,9015.508893183984
19,1,1,12315.465406426414
24,1,0,12178.757756382727
22,1,1,14501.719398377978
39,0,0,10500.342091233215
36,0,1,12279.243263092952
22,0,0,7170.340598394186
17,1,1,12017.687130903087
36,0,1,11981.074219067948
33,1,0,13470.633666929603
22,1,0,9802.986940026101
30,0,0,7796.546549527988
23,1,1,14145.929258826302
22,1,1,13762.550482929644
37,0,1,11580.13278623042
14,1,0,11339.736614917312
48,0,1,14689.27423935655
28,0,1,10690.020373997055
14,0,1,7566.193552361555
29,0,0,7674.399281161601
29,1,1,14851.73825352527
35,0,0,9011.57174773981
30,0,0,9935.99592304978
30,1,0,13234.891746383892
34,0,0,9350.015376569061
16,1,0,11122.018819072295
